	0	1	2
0	Na3ScF6	0.0	-6.028572547356666
1	NaYF4	0.0	-6.115334178190002
2	NaErF4	0.0	-6.115335750690004
3	NaGdF4	0.0	-7.20171995069
4	NaMgF3	-0.0616973812307684	-6.024216528189995
5	Na3AlF6	-0.42102223283333506	-6.1380533256899925
6	Na3ZrF7	-0.5952389620000003	-5.88998465069
7	Na2TiF6	-1.115395341166671	-6.536277049856671
8	Na5Ga3F14	-1.7617805561666666	-6.247134311690002
9	NaZnF3	-1.8840022395000007	-6.049826535689997
10	Na3InF6	-1.889399655055555	-6.083689587356665
11	Na2GeF6	-2.0738247449166645	-6.74848671735667
12	NaErCl4	-0.5492832078333312	-4.211421392000007
13	NaYCl4	-0.5943288361666681	-3.750841427000001
14	NaGdCl4	-0.6058988045000027	-3.934041219500001
15	NaScCl4	-0.8229255659285728	-3.764007872000004
16	Na2MgCl4	-0.8327113165624287	-3.7641781094999978
17	NaAlCl4	-1.4758704811666676	-4.225562477
18	Na2ZnCl4	-1.7851095632500005	-3.8742059701250007
19	NaGaCl4	-2.0280514645	-4.156666044500005
20	Na3InCl6	-2.1248993896562505	-4.0553604145
21	Na3GdBr6	-0.5898005494999998	-3.147406524499999
22	Na3YBr6	-0.5909050228333321	-3.147406524499999
23	Na3ErBr6	-0.6518477078333318	-5.642965341166667
24	Na3ScBr6	-0.8184010428333328	-3.246526527833332
25	NaAlBr4	-1.550994402	-3.4492252645000017
26	Na2ZnBr4	-1.7269981707499997	-3.200340275124999
27	NaGaBr4	-1.9482164619999993	-3.3927867119999995
28	NaInBr4	-2.1747194269999994	-3.147406524499999
29	Na3GdI6	-0.6194221945000018	-4.403078904499999
30	NaAlI4	-1.569401863666667	-2.7199411519999996
31	Na3ScI6	-1.7019272545000035	-2.5293832245
32	NaInI4	-1.9102485757499996	-2.7031402195
33	Na6MgO4	0.0	-1.7126304278333333
34	NaGdO2	0.0	-2.529948796166674
35	NaYO2	0.0	-2.565295639500002
36	NaErO2	0.0	-2.5899798803333285
37	NaScO2	0.0	-2.8584294538750044
38	Na2ZrO3	0.0	-2.893476372625
39	NaAlO2	0.0	-3.164658304125
40	NaGaO2	-0.20786591960869605	-3.209268890125003
41	NaInO2	-0.3021564021388856	-2.947268215125
42	Na2Zn2O3	-0.43653183987036304	-2.2065374978333354
43	NaTi2O4	-0.479464157000014	-0.7628709853333484
44	Na2GeO3	-0.7670204820000011	-3.171416858696431
45	NaGdS2	0.0	-2.1411557745520753
46	NaErS2	0.0	-2.2996318544999994
47	NaYS2	0.0	-2.3159438664791674
48	Na2ZrS3	-0.3501931261666549	-1.9146466945000011
49	Na3AlS3	-0.3993710532500012	-1.9279753124861105
50	NaTiS2	-0.7251795145000026	-1.3930048630714287
51	Na3GaS3	-0.771872098666669	-1.6276355278333294
52	Na2Zn2S3	-0.8197096470000009	-1.613502689499999
53	NaInS2	-1.1056658317222225	-2.1765609568437476
54	Na2GeS3	-1.5342557419999905	-2.0471936654375007
